amount_tsh,funder,gps_height,installer,longitude,latitude,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,scheme_management,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group
200,876,1726,248,34.92959242,-9.15287185,7,5303,4,11,4,92,333,50,2,7,1,2008,4,2,1,8,5,4,2,7,3,2,2,9,7,1,2,2
0,243,986,248,35.42444315,-10.57968552,8,3788,17,10,2,112,999,0,2,7,2,2009,4,2,1,8,5,1,3,7,3,1,1,7,5,2,2,2
0,60,1309,81,36.29176128,-5.24231281,1,4268,9,21,5,42,1643,860,2,7,1,2002,4,2,1,8,5,1,3,7,3,4,4,6,4,2,2,2
5,659,1564,232,35.6124173,-3.35116762,1,809,1,24,30,28,1680,200,2,7,2,2002,4,2,1,8,5,5,6,7,3,2,2,7,5,2,2,2
20,659,1537,232,35.66507527,-3.34770932,1,2756,1,24,30,28,1680,300,2,7,2,1998,4,2,1,8,5,5,6,1,1,2,2,7,5,2,3,2
500,893,1489,248,34.72199105,-8.86253212,7,8114,4,11,4,92,343,360,2,10,2,1978,4,2,1,11,5,4,2,7,3,2,2,7,5,2,2,2
500,893,1798,248,34.70534261,-9.139496099999999,7,6511,4,11,4,92,1104,45,2,10,2,1978,4,2,1,11,5,4,2,7,3,2,2,7,5,2,2,2
0,518,0,248,38.83713732,-4.77558442,6,4460,21,4,8,69,1001,200,2,7,2,1971,4,2,1,8,5,1,3,1,1,3,3,9,7,1,2,2
1000,251,1642,118,37.65808091,-3.7238624,6,743,7,3,2,85,181,45,2,10,1,1972,4,2,1,11,5,4,2,7,3,2,2,9,7,1,2,2
0,580,362,248,37.47632192,-6.28331307,9,5479,12,5,6,84,259,1,2,7,2,1984,4,2,1,8,5,1,3,7,3,3,3,7,5,2,2,2
50,334,128,388,40.04071287,-10.49203103,8,8413,13,99,1,78,1463,400,2,7,2,2006,14,11,6,8,5,5,6,7,3,2,2,4,1,1,3,2
0,251,216,248,38.72134804,-5.17252308,6,4361,21,4,3,81,1557,120,2,7,1,1983,5,3,2,8,5,1,3,7,3,3,3,8,6,1,5,4
50,322,1010,379,37.70648416,-4.00583487,6,2514,7,3,3,102,1542,180,2,8,2,2007,14,11,6,8,5,5,6,5,5,3,3,4,1,1,2,2
0,251,1190,248,38.4236917,-4.6312447,6,8209,21,4,1,53,1208,1,2,7,2,1974,4,2,1,8,5,1,3,7,3,2,2,9,7,1,2,2
1500,146,642,205,37.12085919,-10.78502855,8,6617,17,10,1,121,802,1,2,7,1,1992,15,12,2,8,5,4,2,7,3,3,3,4,1,1,5,4
0,251,1387,306,37.55433946,-3.28942377,6,2072,7,3,4,74,973,1,2,10,2,1970,4,2,1,11,5,1,3,7,3,3,3,9,7,1,2,2
0,146,805,205,35.99024647,-10.53404797,7,6290,17,10,5,87,1277,250,2,11,1,1990,15,12,2,12,5,6,4,7,3,2,2,8,6,1,5,4
0,964,1544,248,36.61868919,-3.29203785,6,16,1,2,2,1,1655,200,2,7,2,2004,4,2,1,8,5,1,3,7,3,3,3,9,7,1,2,2
500,642,1369,311,34.25333419,-1.20066603,5,7815,10,20,6,119,243,560,2,7,2,2011,1,1,2,8,5,4,2,7,3,2,2,8,6,1,5,4
0,251,1070,248,36.80143513,-3.45135176,6,8185,1,2,2,1,1205,150,2,7,2,1988,4,2,1,8,5,1,3,7,3,2,2,9,7,1,7,6
0,251,1286,225,37.62786033,-3.13469202,6,1951,7,3,1,97,697,1,2,1,2,1962,4,2,1,1,1,4,2,7,3,3,3,9,7,1,2,2
7,245,1624,119,37.22900273,-3.18441406,6,6745,7,3,5,17,893,1,2,9,2,2008,4,2,1,10,5,5,6,7,3,2,2,9,7,1,2,2
500,251,1282,306,30.12795597,-4.24867926,4,5623,6,16,2,29,1344,950,2,8,1,1978,7,11,6,8,5,2,5,7,3,2,2,4,1,1,3,2
500,146,462,205,37.45782761,-11.20866259,8,8115,17,10,1,121,1441,1,2,7,1,1986,4,2,1,8,5,4,2,7,3,2,2,7,5,2,2,2
0,19,1571,23,35.52646919,-4.48085439,1,7655,9,21,2,18,262,221,2,7,2,2008,4,2,1,8,5,1,3,7,3,1,1,9,7,1,2,2
0,718,1546,248,31.9968789,-8.80386259,3,3425,16,15,2,114,794,50,2,7,1,1985,5,3,2,8,5,1,3,7,3,2,2,4,1,1,5,4
1000,251,-7,248,39.05964828,-5.28936932,6,2519,21,4,3,81,601,25,2,7,1,2009,4,2,1,8,5,1,3,7,3,3,3,4,1,1,3,2
7,245,1133,119,37.22600343,-3.27103862,6,7346,7,3,5,17,893,125,2,9,2,2008,4,2,1,10,5,5,6,7,3,2,2,9,7,1,2,2
500,251,900,118,37.59031748,-3.7304578,6,4354,7,3,2,85,798,80,2,9,2,1972,4,2,1,10,5,4,2,7,3,3,3,9,7,1,7,6
0,251,1237,248,38.46742948,-4.8647269,6,73,21,4,1,53,80,1,2,7,2,1969,4,2,1,8,5,1,3,7,3,2,2,9,7,1,2,2
0,251,1388,162,36.88065592,-3.31430939,6,44,1,2,7,66,941,98,2,7,2,2007,4,2,1,8,5,7,7,7,3,3,3,9,7,1,2,2
7500,663,677,226,37.47908238,-3.81858443,6,6623,7,3,2,85,694,320,2,4,1,2012,3,9,3,5,1,3,1,8,6,2,2,1,2,2,2,2
50,366,105,248,38.90647215,-6.74295268,9,6132,15,6,2,30,560,1,2,8,2,2010,8,5,3,8,5,5,6,7,3,2,2,7,5,2,3,2
2000,303,1764,362,35.77193117,-8.02782346,7,8100,4,11,7,35,1305,1,2,7,2,2008,15,12,2,8,5,1,3,7,3,2,2,4,1,1,5,4
0,509,1182,248,35.87050076,-4.13979616,1,7614,9,21,1,3,978,72,2,7,2,1998,4,2,1,8,5,1,3,7,3,3,3,9,7,1,2,2
0,251,1116,248,31.24387308,-6.37911714,3,5744,16,15,1,76,1563,70,1,8,2,1972,4,2,1,9,1,1,3,7,3,2,2,9,7,1,2,2
300,365,875,428,36.64437721,-6.81836802,9,7716,12,5,1,37,857,350,2,7,2,1996,9,6,2,8,5,6,4,7,3,3,3,8,6,1,5,4
100,251,2116,157,33.98504961,-8.9881064,7,4108,4,11,3,56,1209,0,2,7,1,1974,4,2,1,8,5,6,4,7,3,2,2,9,7,1,2,2
500,251,2576,157,33.91513217,-9.19113626,2,3705,4,11,3,56,367,0,2,7,1,1986,4,2,1,8,5,6,4,7,3,2,2,9,7,1,2,2
0,21,344,473,37.61832784,-6.13357212,9,5532,12,5,6,84,201,20,2,7,2,2006,10,7,4,8,5,1,3,7,3,2,2,8,6,1,5,4
0,251,1006,248,31.14227776,-6.61124387,3,1238,16,15,1,76,1791,50,1,8,2,1978,4,2,1,9,1,1,3,7,3,2,2,9,7,1,2,2
10,230,1633,517,37.57594115,-7.08503792,9,5418,12,5,6,84,1834,60,2,7,2,2004,4,2,1,8,5,5,6,7,3,2,2,7,5,2,2,2
0,387,1569,1004,34.97643178,-8.82935561,7,6908,4,11,4,92,934,40,2,7,1,2009,9,6,2,8,5,1,3,7,3,2,2,2,1,1,5,4
250,349,1610,410,30.03071578,-4.43392653,4,1871,6,16,2,29,1323,650,2,8,2,1999,4,2,1,10,5,4,2,7,3,2,2,9,7,1,2,2
500,251,1504,248,38.24442402,-4.4588915,6,5573,21,4,1,53,1217,1,2,7,2,1971,4,2,1,8,5,4,2,7,3,2,2,9,7,1,2,2
20,917,1721,997,35.02234242,-4.18404892,1,4948,9,21,3,64,252,192,2,7,2,1994,14,11,6,8,5,5,6,7,3,2,2,4,1,1,2,2
1000,146,1620,203,35.56771838,-7.94158325,7,2724,4,11,1,25,1272,1,2,7,2,1982,4,2,1,8,5,4,2,7,3,2,2,9,7,1,2,2
50,251,1414,248,36.67432678,-3.35742512,6,7499,1,2,2,1,682,200,2,7,2,2000,4,2,1,8,5,5,6,7,3,3,3,9,7,1,2,2
0,593,1982,678,31.63874388,-8.11393053,4,4910,16,15,4,115,1672,0,2,7,2,1984,4,2,1,8,5,1,3,7,3,1,1,7,5,2,2,2
100,146,876,205,36.00884449,-10.73030401,8,2437,17,10,5,87,1180,200,2,11,1,1998,15,12,2,12,5,4,2,7,3,3,3,8,6,1,5,4
100,229,472,638,37.75333011,-6.91532531,9,7993,12,5,2,72,664,250,2,7,2,2004,4,2,1,8,5,4,2,7,3,2,2,7,5,2,2,2
20,972,173,1080,38.35640398,-6.64287516,9,4511,15,6,1,4,137,150,2,10,2,2010,7,11,6,11,5,5,6,7,3,2,2,7,5,2,2,2
0,892,697,248,34.6675289,-10.44890839,2,2750,4,11,5,52,1021,60,2,7,1,1984,4,2,1,8,5,1,3,7,3,2,2,9,7,1,2,2
0,387,1989,157,34.23757868,-9.38027549,2,7754,4,11,3,56,862,0,2,7,1,1984,4,2,1,8,5,1,3,7,3,2,2,9,7,1,2,2
5,94,1093,248,37.27313434,-3.28468532,6,5763,7,3,4,74,659,20,2,9,2,2007,4,2,1,10,5,5,6,7,3,2,2,7,5,2,2,2
0,209,2012,988,34.740896,-9.39969423,7,2235,4,11,4,92,1917,80,2,7,2,2002,4,2,1,8,5,1,3,7,3,2,2,9,7,1,2,2
500,74,1274,89,34.98990302,-10.94025521,2,4598,17,10,3,62,1076,260,2,9,2,2002,4,2,1,10,5,4,2,7,3,2,2,9,7,1,2,2
100,251,2132,157,34.21215284,-9.45018053,2,1345,4,11,3,56,1878,0,2,7,1,2002,4,2,1,8,5,4,2,7,3,2,2,9,7,1,2,2
0,509,1287,591,33.86144433,-1.98006878,5,2243,10,20,4,11,86,200,2,10,2,1972,4,2,1,11,5,7,7,7,3,1,1,3,5,2,3,2
0,611,1306,696,36.89963137,-3.11331959,1,7919,1,2,7,66,1505,250,2,7,2,2010,4,2,1,11,5,7,7,7,3,3,3,9,7,1,2,2
0,190,1339,248,34.07442773,-2.99369841,5,5796,18,17,1,6,1554,250,2,11,1,1998,9,6,2,12,5,1,3,7,3,2,2,8,6,1,5,4
0,964,0,522,37.21538421,-6.51840064,9,5477,12,5,1,37,1283,189,2,7,2,2005,14,11,6,8,5,1,3,5,5,2,2,4,1,1,2,2
0,251,1193,248,38.48246991,-4.6185187999999995,6,3319,21,4,1,53,1534,1,2,7,2,2010,15,12,2,8,5,1,3,5,5,2,2,8,6,1,5,4
0,146,1042,205,35.7588964,-10.515310099999999,2,5578,17,10,5,87,1277,180,2,11,1,1983,15,12,2,12,5,6,4,7,3,3,3,8,6,1,5,4
50,559,720,649,39.24118301,-10.87948265,8,4335,13,90,33,89,1218,850,2,7,1,1996,4,2,1,8,5,5,6,7,3,3,3,9,7,1,2,2
0,375,1682,435,37.58743816,-3.21965387,6,3238,7,3,1,97,1770,1,2,1,2,2000,4,2,1,1,1,4,2,7,3,2,2,9,7,1,2,2
5,245,942,119,37.15330819,-3.33484802,6,2363,7,3,5,17,251,50,2,9,2,1999,4,2,1,10,5,5,6,7,3,2,2,9,7,1,2,2
50,220,110,248,38.86003518,-6.7832854000000005,9,8312,15,6,2,30,1795,100,2,3,2,1986,8,5,3,8,5,5,6,7,3,1,1,7,5,2,7,6
0,84,951,248,29.88877545,-5.31079128,4,2104,6,16,3,32,1820,300,2,7,2,1999,9,6,2,8,5,7,7,7,3,2,2,8,6,1,5,4
0,251,1111,248,30.36036456,-4.86323549,4,2356,6,16,2,32,1916,740,2,8,1,2007,9,6,2,8,5,1,3,7,3,2,2,8,6,1,5,4
0,35,1827,48,35.76559605,-8.08149573,7,4764,4,11,7,35,1875,400,2,7,2,2009,5,3,2,8,5,1,3,7,3,2,2,4,1,1,5,4
50,23,137,209,38.953264600000004,-6.81055717,9,182,15,6,2,30,1849,1,2,8,2,2007,8,5,3,8,5,5,6,7,3,2,2,7,5,2,3,2
0,620,1345,248,30.86837823,-3.37881268,4,1913,6,16,1,31,512,250,2,7,1,2010,14,11,6,8,5,7,7,7,3,3,3,4,1,1,2,2
0,224,212,275,39.66918663,-10.858004699999999,8,8211,13,9,4,117,1473,300,2,9,2,1982,14,11,6,8,5,1,3,7,3,1,1,4,1,1,3,2
0,659,1266,73,36.98730137,-3.25011669,6,4067,1,2,7,66,795,500,2,10,1,2011,4,2,1,11,5,7,7,7,3,3,3,6,4,2,3,2
0,455,1285,526,37.03823817,-3.19868895,6,7109,7,3,7,107,1778,1,2,9,2,2009,4,2,1,10,5,4,2,7,3,2,2,9,7,1,2,2
0,712,1570,789,35.1018841,-9.19269342,7,3689,4,11,4,92,591,30,2,7,2,1994,4,2,1,8,5,1,3,7,3,1,1,7,5,2,2,2
200,157,379,212,38.36849286,-10.93384583,8,7931,13,90,63,88,1461,150,2,3,2,2008,5,3,2,4,3,5,6,5,5,2,2,4,1,1,5,4
0,187,1160,248,30.42759159,-4.27598594,4,7041,6,16,2,29,718,590,2,8,1,1975,8,5,3,8,5,1,3,7,3,2,2,8,6,1,3,2
50,659,40,248,38.97155755,-5.38462674,6,6125,21,4,5,96,901,16,1,4,1,2007,14,11,6,5,1,5,6,7,3,4,4,4,1,1,2,2
50,659,-8,195,38.89095066,-6.51860869,9,989,15,6,1,4,686,50,2,1,2,2008,7,11,6,5,1,5,6,7,3,2,2,7,5,2,2,2
4000,91,1959,110,35.87501977,-8.228000699999999,7,5115,4,11,7,35,33,80,2,7,2,2003,4,2,1,8,5,3,1,7,3,2,2,7,5,2,2,2
3000,146,879,203,35.38635891,-7.65095641,7,5157,4,11,1,25,1210,1,2,7,2,1992,4,2,1,8,5,3,1,7,3,2,2,9,7,1,2,2
1000,146,1440,203,35.59280104,-7.80582548,7,5116,4,11,1,25,1880,210,2,7,2,1983,4,2,1,8,5,4,2,7,3,1,1,9,7,1,2,2
0,251,1523,248,36.60724575,-3.30207819,6,16,1,2,2,1,1655,150,2,7,2,1970,10,7,4,8,5,1,3,7,3,2,2,4,1,1,7,6
0,316,1097,374,36.68018106,-6.87616383,9,4126,12,5,1,37,857,250,2,7,2,1981,15,12,2,8,5,1,3,5,5,1,1,8,6,1,5,4
0,251,1119,248,30.34717036,-4.8719301,4,2356,6,16,2,32,1916,320,2,8,1,2007,9,6,2,8,5,1,3,5,5,2,2,8,6,1,5,4
0,834,1749,906,38.27094157,-4.6615608,6,7963,21,4,1,53,966,1,2,7,2,1985,4,2,1,8,5,1,3,7,3,2,2,9,7,1,2,2
0,808,1287,162,36.75927115,-3.38737971,6,5234,1,2,7,66,1549,120,2,7,2,2011,4,2,1,8,5,7,7,7,3,2,2,9,7,1,2,2
2500,773,1554,852,34.73747841,-8.92088215,7,1276,4,11,4,92,1312,65,2,7,2,2010,4,2,1,8,5,3,1,7,3,2,2,9,7,1,2,2
20,950,1728,1048,35.09479154,-4.15189715,1,7744,9,21,3,64,917,218,2,7,2,2006,8,5,3,8,5,5,6,7,3,2,2,4,1,1,2,2
0,835,738,144,36.33788056,-11.17829173,8,8013,17,10,5,87,871,700,2,3,1,2007,15,12,2,4,3,6,4,7,3,3,3,8,6,1,5,4
0,146,848,205,35.9770565,-10.55154627,7,6290,17,10,5,87,1277,80,2,11,1,1990,10,7,4,12,5,6,4,7,3,2,2,8,6,1,7,6
0,423,319,490,38.98738247,-10.50802015,8,4812,13,90,33,58,1404,40,2,7,1,1995,4,2,1,8,5,1,3,7,3,2,2,9,7,1,2,2
0,251,1233,162,36.980594399999994,-3.2681787,6,3224,1,2,7,66,660,120,2,7,2,1963,4,2,1,8,5,7,7,7,3,3,3,9,7,1,2,2
0,580,706,248,37.44412397,-5.82951489,9,2266,12,5,6,84,568,1,2,7,2,1996,15,12,2,8,5,1,3,7,3,3,3,8,6,1,5,4
0,511,1672,596,35.09343854,-9.56048826,2,1693,4,11,4,92,598,23,2,7,1,1998,4,2,1,8,5,1,3,7,3,2,2,9,7,1,2,2
0,251,1371,248,38.52077442,-4.7781112,6,3301,21,4,1,53,1120,1,2,7,2,1972,4,2,1,8,5,1,3,7,3,2,2,9,7,1,2,2
0,217,372,268,38.64244068,-10.2773797,8,2643,8,8,3,86,1220,380,2,7,1,1988,5,3,2,8,5,1,3,5,5,3,3,4,1,1,5,4
0,844,1474,917,34.44750516,-4.4015942,1,3766,19,13,1,24,783,195,2,7,2,1996,9,6,2,8,5,1,3,7,3,2,2,4,1,1,5,4
1000,334,1293,389,33.88622687,-1.66592514,5,7016,10,20,3,83,96,350,2,7,2,2011,1,1,2,8,5,4,2,7,3,2,2,4,1,1,5,4
2000,611,1428,162,36.84895072,-3.14633698,1,1767,1,2,7,66,1505,182,2,7,2,2009,14,11,6,12,5,4,2,7,3,3,3,4,1,1,2,2
0,964,501,831,37.74768029,-9.5396571,8,6485,8,80,43,50,16,350,2,7,2,2012,5,3,2,8,5,7,7,7,3,2,2,4,1,1,5,4
10,165,0,219,37.15765414,-6.25308769,9,1525,12,5,1,37,926,59,2,7,2,1984,7,11,6,8,5,5,6,7,3,2,2,4,1,1,2,2
0,293,1153,353,33.679676799999996,-1.69114438,5,6855,10,20,3,83,1315,250,1,7,2,1998,9,6,2,8,5,1,3,7,3,2,2,8,6,1,5,4
1000,251,1604,118,37.65901094,-3.71814886,6,743,7,3,2,85,181,20,2,10,1,1972,4,2,1,11,5,4,2,7,3,2,2,9,7,1,2,2
6,95,1198,248,37.47692924,-3.34092018,6,7859,7,3,4,74,689,35,2,9,2,2008,4,2,1,10,5,5,6,7,3,2,2,9,7,1,2,2
0,353,1217,416,38.00682598,-4.26044985,6,8334,7,3,3,102,1935,569,2,7,2,2002,4,2,1,8,5,1,3,7,3,3,3,9,7,1,3,2
50,403,106,248,38.90354217,-6.83863068,9,2363,15,6,2,30,1795,50,2,7,2,2008,10,7,4,8,5,5,6,7,3,3,3,8,6,1,5,4
1000,513,960,597,35.38271411,-10.71445129,8,6231,17,10,2,112,909,0,2,7,2,1977,4,2,1,8,5,4,2,7,3,2,2,7,5,2,2,2
500,180,434,511,38.06751577,-4.65458656,6,4051,21,4,2,45,1179,35,2,7,1,2007,7,11,6,8,5,4,2,7,3,2,2,7,5,2,2,2
250,593,1097,679,30.20681538,-4.77966637,4,215,6,16,2,29,1714,2400,2,8,1,1989,15,12,2,8,5,4,2,7,3,2,2,4,1,1,5,4
0,706,2260,783,34.39176923,-9.28989206,2,5608,4,11,4,92,303,50,2,7,1,1996,4,2,1,8,5,6,4,7,3,2,2,9,7,1,2,2
20,549,788,637,37.34831677,-3.35258803,6,790,7,3,6,75,1542,1,2,8,2,2008,4,2,1,9,1,5,6,7,3,3,3,9,7,1,2,2
1000,773,1600,852,34.99698039,-8.94881081,7,4380,4,11,4,92,934,120,2,7,1,2010,12,10,5,8,5,6,4,7,3,2,2,2,1,1,5,4
0,966,1774,248,36.6391006,-3.26222341,6,4426,1,2,2,1,1652,150,2,7,2,1990,4,2,1,8,5,1,3,7,3,3,3,9,7,1,2,2
0,374,0,248,37.29373148,-5.70419117,9,5645,21,4,7,34,1011,1800,2,7,1,1988,15,12,2,8,5,1,3,7,3,3,3,8,6,1,5,4
500,773,1528,853,34.76182139,-8.85394964,7,2072,4,11,4,92,343,112,2,10,2,2011,4,2,1,11,5,4,2,7,3,2,2,7,5,2,2,2
30,656,108,735,38.9342633,-7.71775824,7,2392,15,60,53,100,578,1,1,4,2,2007,9,6,2,5,1,5,6,7,3,2,2,8,6,1,5,4
500,164,1496,1035,34.74381046,-4.9013165,1,1725,19,13,4,111,1888,106,2,11,2,2003,9,6,2,12,5,4,2,7,3,4,4,8,6,1,5,4
10,659,1731,232,35.83735311,-3.2453781000000004,1,7933,1,24,30,28,1086,80,2,7,2,2009,4,2,1,8,5,5,6,7,3,4,4,7,5,2,2,2
200,251,1717,248,38.21076217,-4.556957,6,4178,21,4,1,53,1818,1,2,7,2,2001,4,2,1,8,5,4,2,7,3,2,2,9,7,1,2,2
0,706,137,248,38.82652126,-5.10215138,6,2133,21,4,3,81,588,1,2,7,1,2008,4,2,1,8,5,1,3,7,3,4,4,9,7,1,2,2
0,593,2125,678,31.71033001,-8.02897733,3,2980,16,15,4,115,1238,740,2,7,2,1993,5,3,2,8,5,1,3,7,3,2,2,8,6,1,5,4
50,964,1369,1043,36.63553562,-5.674945200000001,9,597,9,21,5,42,1803,1800,2,7,2,2005,8,5,3,8,5,5,6,7,3,2,2,4,1,1,3,2
1000,251,981,118,37.60762508,-3.81343889,6,7673,7,3,2,85,798,50,2,7,1,1994,4,2,1,8,5,4,2,7,3,3,3,9,7,1,3,2
4000,91,1979,110,35.86628741,-8.22694393,7,1133,4,11,7,35,33,100,2,7,2,2003,4,2,1,8,5,3,1,7,3,2,2,7,5,2,2,2
0,629,1780,248,37.35961168,-2.87103123,1,3446,1,2,6,51,1653,300,2,7,2,2010,4,2,1,8,5,6,4,7,3,3,3,7,5,2,2,2
0,294,2134,354,34.51639956,-9.30555986,2,6445,4,11,4,92,303,30,2,7,2,1998,4,2,1,8,5,6,4,7,3,2,2,9,7,1,2,2
50,366,44,248,38.79259635,-6.61217491,9,4609,15,6,2,30,1932,1,2,8,2,2010,8,5,3,5,1,5,6,7,3,2,2,7,5,2,2,2
500,146,1688,202,34.48200672,-9.82291149,2,3695,4,11,5,52,1051,30,2,7,1,1995,4,2,1,8,5,3,1,7,3,2,2,9,7,1,2,2
0,964,183,1070,38.43058389,-11.34631248,8,4599,13,90,63,88,1029,1,2,7,2,2012,14,11,6,8,5,1,3,7,3,1,1,4,1,1,3,2
0,590,1645,248,31.28052235,-7.36237327,3,4425,16,15,3,93,1198,120,1,7,1,2008,15,12,2,8,5,7,7,7,3,2,2,8,6,1,5,4
100,869,366,511,38.33425198,-5.06309118,6,4784,21,4,2,45,958,250,2,7,1,1982,1,1,2,8,5,4,2,5,5,2,2,8,6,1,5,4
0,251,1787,248,36.61432969,-3.22875935,6,7200,1,2,2,1,1652,150,2,7,2,2005,4,2,1,8,5,7,7,7,3,2,2,9,7,1,2,2
500,251,1879,248,36.64363634,-3.23903142,6,7659,1,2,2,1,1652,150,2,7,2,1990,4,2,1,8,5,6,4,7,3,2,2,9,7,1,2,2
20,917,1717,997,35.02557402,-4.19355046,1,4947,9,21,3,64,252,149,2,7,2,1994,14,11,6,8,5,5,6,7,3,2,2,4,1,1,2,2
20,972,353,1080,38.24230099,-6.07582793,9,8411,15,6,1,4,1092,30,2,10,2,2003,7,11,6,11,5,5,6,7,3,2,2,7,5,2,2,2
500,893,1387,248,34.62690973,-8.85412873,7,8355,4,11,4,92,1941,63,2,10,2,1978,4,2,1,11,5,4,2,7,3,2,2,7,5,2,2,2
0,785,744,248,36.35135832,-11.19109346,8,4903,17,10,5,87,871,700,2,3,1,1998,9,6,2,4,3,1,3,7,3,3,3,8,6,1,5,4
0,15,1772,248,34.73611374,-9.08179847,7,2235,4,11,4,92,1104,75,2,7,2,2009,4,2,1,8,5,6,4,7,3,2,2,9,7,1,2,2
0,256,970,308,37.64366629,-3.78707424,6,2869,7,3,2,85,798,43,2,9,1,1986,4,2,1,10,5,1,3,7,3,3,3,9,7,1,2,2
0,174,442,230,38.98767344,-10.24341156,8,1482,8,80,53,99,1214,340,2,7,2,1975,4,2,1,8,5,1,3,7,3,2,2,9,7,1,2,2
0,718,1681,248,31.361951,-8.24561266,4,8220,16,15,2,114,1185,170,2,7,1,1991,15,12,2,8,5,1,3,7,3,2,2,4,1,1,5,4
0,176,1525,233,35.39514057,-4.33586592,1,852,9,21,1,3,191,197,2,7,2,2009,9,6,2,8,5,1,3,7,3,2,2,8,6,1,5,4
0,146,828,205,36.1306906,-10.46491607,7,4912,17,10,5,87,832,250,2,10,2,1982,4,2,1,8,5,1,3,7,3,2,2,7,5,2,3,2
0,174,696,226,37.54370759,-3.50068748,6,1977,7,3,2,85,629,240,2,2,1,1990,5,3,2,2,2,1,3,7,3,3,3,8,6,1,5,4
200,318,279,248,36.89378331,-7.81882698,7,179,12,5,3,36,1186,200,2,10,2,2003,4,2,1,8,5,4,2,7,3,3,3,7,5,2,2,2
0,799,741,875,36.74051982,-7.33636009,7,2363,12,5,1,37,698,280,2,7,2,2010,4,2,1,8,5,1,3,7,3,2,2,7,5,2,2,2
50,385,727,445,36.95809117,-11.30830648,8,6166,17,10,1,121,1008,1,2,7,1,2011,14,11,6,8,5,5,6,7,3,2,2,4,1,1,3,2
0,224,389,275,39.45899789,-10.68986178,8,5177,13,9,4,117,1105,1,2,9,2,1982,14,11,6,8,5,1,3,7,3,4,4,4,1,1,2,2
500,893,1506,248,34.72724439,-8.86069126,7,4957,4,11,4,92,343,89,2,10,2,1978,4,2,1,11,5,4,2,7,3,1,1,7,5,2,2,2
0,146,835,205,36.01682529,-10.74639136,8,5028,17,10,5,87,1180,360,2,7,2,1983,4,2,1,8,5,6,4,7,3,1,1,7,5,2,2,2
0,216,313,743,38.62055146,-10.95529328,8,2835,13,90,63,88,1005,142,2,7,2,2009,9,6,2,8,5,1,3,1,1,4,4,8,6,1,7,6
50,321,1092,378,35.39139419,-3.50966817,1,4599,1,24,30,28,17,200,2,7,2,2006,4,2,1,8,5,5,6,7,3,2,2,9,7,1,2,2
